"Gross national income (GNI) per capita (2011 PPP$)"
"HDI Rank (2015)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015",""
"139"," Ghana","1897","","1944","","1966","","1998","","2006","","2035","","2079","","2117","","2165","","2208","","2228","","2294","","2342","","2400","","2462","","2574","","2638","","2683","","2859","","2924","","3036","","3324","","3472","","3725","","3724","","3839",""
"29"," Greece","21581","","22074","","22119","","21578","","21917","","22272","","22729","","23649","","24405","","24746","","25485","","26479","","27324","","28622","","29966","","29825","","31188","","31898","","31553","","30373","","28758","","25998","","25061","","24273","","24689","","24808",""
"79"," Grenada","6808","","7096","","7062","","6728","","6838","","6838","","7083","","7405","","8184","","8714","","9028","","8687","","8883","","9727","","9389","","11412","","11013","","11394","","11494","","10356","","10603","","10766","","10567","","10837","","11173","","11502",""
"125"," Guatemala","5062","","5163","","5284","","5364","","5435","","5566","","5574","","5684","","5856","","5918","","5980","","6022","","6045","","6047","","6071","","6120","","6274","","6507","","6579","","6432","","6474","","6563","","6679","","6808","","6918","","7063",""
"183"," Guinea","1063","","1035","","1025","","1036","","1027","","1030","","1040","","1059","","1072","","1106","","1113","","1126","","1187","","1108","","1060","","1068","","1056","","1084","","1058","","1047","","1056","","1080","","1118","","1111","","1083","","1058",""
"178"," Guinea-Bissau","1309","","1287","","1306","","1300","","1315","","1322","","1345","","1447","","1173","","1306","","1277","","1276","","1246","","1229","","1237","","1266","","1268","","1282","","1290","","1308","","1349","","1415","","1329","","1342","","1339","","1369",""
"127"," Guyana","2222","","1986","","2463","","3010","","3453","","3667","","4231","","4355","","4354","","4366","","4471","","4516","","4545","","4591","","4831","","4812","","4930","","5065","","5284","","5494","","5851","","6055","","6369","","6528","","6711","","6884",""
"163"," Haiti","1856","","1712","","1487","","1627","","1591","","1519","","1680","","1752","","1756","","1768","","1759","","1707","","1667","","1675","","1604","","1601","","1571","","1597","","1587","","1614","","1506","","1570","","1597","","1635","","1652","","1657",""
"130"," Honduras","2949","","2939","","2996","","3225","","3103","","3104","","3160","","3309","","3348","","3245","","3358","","3371","","3416","","3482","","3607","","3773","","3943","","4180","","4298","","4157","","4137","","4198","","4242","","4301","","4378","","4466",""
"12"," Hong Kong, China (SAR)","26185","","27235","","28611","","31327","","32698","","33170","","33320","","34503","","32385","","32580","","34310","","34806","","34609","","36478","","39131","","41145","","44567","","47449","","49427","","46780","","49130","","51454","","51067","","52629","","54019","","54265",""
"43"," Hungary","15986","","13874","","13551","","14093","","14502","","14647","","14601","","14886","","15526","","16053","","16910","","17576","","18381","","19259","","20081","","20978","","21882","","21662","","22007","","20928","","21108","","21505","","21384","","22169","","22676","","23394",""
"9"," Iceland","25071","","24726","","23594","","23662","","24304","","24201","","25222","","26246","","27659","","28464","","29404","","30107","","29975","","30584","","32809","","34219","","34831","","37184","","37039","","35185","","33971","","34541","","34764","","35778","","36029","","37065",""
"131"," India","1751","","1730","","1788","","1839","","1926","","2035","","2152","","2199","","2292","","2452","","2495","","2575","","2634","","2792","","2966","","3191","","3431","","3684","","3765","","4026","","4358","","4594","","4776","","5027","","5329","","5663",""
